"Timestamp","Titles","Ratings","Cost"
2024-10-30 18:52:40.558379,"Life is easier on iPhone.","4.5 out of 5 stars","42,999"
2024-10-30 18:52:40.558379,"Apple iPhone 15 (128 GB) - Black","4.5 out of 5 stars","42,999"
2024-10-30 18:52:40.558379,"Apple iPhone 16 (256 GB) - Teal","4.5 out of 5 stars","42,999"
2024-10-30 18:52:40.558379,"Apple iPhone 13 (128GB) - Midnight","4.5 out of 5 stars","66,900"
2024-10-30 18:52:40.558379,"Apple iPhone 13 (128GB) - Starlight","3.6 out of 5 stars","89,900"
2024-10-30 18:52:40.558379,"Apple iPhone 16 Pro (256 GB) - Natural Titanium","4.5 out of 5 stars","42,999"
2024-10-30 18:52:40.558379,"Apple iPhone 13 (128GB) - Pink","4.5 out of 5 stars","42,999"
2024-10-30 18:52:40.558379,"Apple iPhone 13 (128GB) - (Product) RED","4.5 out of 5 stars","1,29,900"
2024-10-30 18:52:40.558379,"Apple iPhone 15 (128 GB) - Blue","4.5 out of 5 stars","42,999"
2024-10-30 18:52:40.558379,"Apple iPhone 16 (128 GB) - Black","4.5 out of 5 stars","42,999"
2024-10-30 18:52:40.558379,"Apple iPhone 13 (128GB) - Blue","4.5 out of 5 stars","66,900"
2024-10-30 18:52:40.558379,"Apple iPhone 15 (128 GB) - Black","4.5 out of 5 stars","79,900"
2024-10-30 18:52:40.558379,"Apple iPhone 13 (128GB) - Green","4.5 out of 5 stars","42,999"
2024-10-30 18:52:40.558379,"Apple iPhone 16 (128 GB) - Ultramarine","3.6 out of 5 stars","66,900"
2024-10-30 18:52:40.558379,"Apple iPhone 16 Pro (512 GB) - White Titanium","4.5 out of 5 stars","42,999"
2024-10-30 18:52:40.558379,"Apple iPhone 13 (256GB) - Pink","4.5 out of 5 stars","79,900"
2024-10-30 18:52:40.558379,"Apple iPhone 14 (128 GB) - Blue","4.5 out of 5 stars","1,49,900"
2024-10-30 18:52:40.558379,"Apple iPhone 16 (128 GB) - Pink","4.5 out of 5 stars","53,999"
2024-10-30 18:52:40.558379,"Apple iPhone 13 (256GB) - Blue","4 Stars & Up","59,900"
2024-10-30 19:00:27.454878,"Life is easier on iPhone.","4.5 out of 5 stars","42,999."
2024-10-30 19:00:27.454878,"Apple iPhone 15 (128 GB) - Black","4.5 out of 5 stars","42,999."
2024-10-30 19:00:27.454878,"Apple iPhone 16 (256 GB) - Teal","4.5 out of 5 stars","42,999."
2024-10-30 19:00:27.454878,"Apple iPhone 13 (128GB) - Midnight","4.5 out of 5 stars","66,900"
2024-10-30 19:00:27.454878,"Apple iPhone 13 (128GB) - Starlight","3.6 out of 5 stars","89,900"
2024-10-30 19:00:27.454878,"Apple iPhone 16 Pro (256 GB) - Natural Titanium","4.5 out of 5 stars","42,999"
2024-10-30 19:00:27.454878,"Apple iPhone 13 (128GB) - Pink","4.5 out of 5 stars","42,999"
2024-10-30 19:00:27.454878,"Apple iPhone 15 (128 GB) - Blue","4.5 out of 5 stars","1,29,900"
2024-10-30 19:00:27.454878,"Apple iPhone 13 (128GB) - (Product) RED","4.5 out of 5 stars","42,999"
2024-10-30 19:00:27.454878,"Apple iPhone 16 (128 GB) - Black","4.5 out of 5 stars","66,900"
2024-10-30 19:00:27.454878,"Apple iPhone 13 (128GB) - Blue","4.5 out of 5 stars","42,999"
2024-10-30 19:00:27.454878,"Apple iPhone 15 (128 GB) - Black","4.5 out of 5 stars","79,900"
2024-10-30 19:00:27.454878,"Apple iPhone 13 (128GB) - Green","4.5 out of 5 stars","42,999"
2024-10-30 19:00:27.454878,"Apple iPhone 16 (128 GB) - Ultramarine","3.6 out of 5 stars","66,900"
2024-10-30 19:00:27.454878,"Apple iPhone 16 Pro (512 GB) - White Titanium","4.5 out of 5 stars","42,999"
2024-10-30 19:00:27.454878,"Apple iPhone 13 (256GB) - Pink","4.5 out of 5 stars","79,900"
2024-10-30 19:00:27.454878,"Apple iPhone 14 (128 GB) - Blue","4.5 out of 5 stars","1,49,900"
2024-10-30 19:00:27.454878,"Apple iPhone 16 (128 GB) - Pink","4.5 out of 5 stars","53,999"
2024-10-30 19:00:27.454878,"Apple iPhone 13 (256GB) - Blue","4 Stars & Up","59,900"
2024-10-30 19:08:47.965295,"Life is easier on iPhone.","4.5 out of 5 stars","42,999."
2024-10-30 19:08:47.965295,"Apple iPhone 15 (128 GB) - Black","4.5 out of 5 stars","42,999."
2024-10-30 19:08:47.965295,"Apple iPhone 16 (256 GB) - Teal","4.5 out of 5 stars","42,999."
2024-10-30 19:08:47.965295,"Apple iPhone 13 (128GB) - Midnight","4.5 out of 5 stars","66,900"
2024-10-30 19:08:47.965295,"Apple iPhone 13 (128GB) - Starlight","4.5 out of 5 stars","89,900"
2024-10-30 19:08:47.965295,"Apple iPhone 13 (128GB) - Pink","4.5 out of 5 stars","42,999"
2024-10-30 19:08:47.965295,"Apple iPhone 13 (128GB) - (Product) RED","4.5 out of 5 stars","42,999"
2024-10-30 19:08:47.965295,"Apple iPhone 13 (128GB) - Green","4.5 out of 5 stars","42,999"
2024-10-30 19:08:47.965295,"Apple iPhone 13 (128GB) - Blue","3.6 out of 5 stars","42,999"
2024-10-30 19:08:47.965295,"Apple iPhone 16 Pro (256 GB) - Natural Titanium","4.5 out of 5 stars","42,999"
2024-10-30 19:08:47.965295,"Apple iPhone 16 (128 GB) - Black","4.5 out of 5 stars","42,999"
2024-10-30 19:08:47.965295,"Apple iPhone 15 (128 GB) - Blue","4.5 out of 5 stars","1,29,900"
2024-10-30 19:08:47.965295,"Apple iPhone 15 (128 GB) - Black","4.5 out of 5 stars","79,900"
2024-10-30 19:08:47.965295,"Apple iPhone 16 (128 GB) - Ultramarine","4.5 out of 5 stars","66,900"
2024-10-30 19:08:47.965295,"Apple iPhone 14 (128 GB) - Blue","4.0 out of 5 stars","66,900"
2024-10-30 19:08:47.965295,"Apple iPhone 16 Pro Max (256 GB) - Desert Titanium","4.5 out of 5 stars","79,900"
2024-10-30 19:08:47.965295,"Apple iPhone 16 (128 GB) - Teal","4.5 out of 5 stars","59,900"
2024-10-30 19:08:47.965295,"Apple iPhone 16 (128 GB) - Pink","3.6 out of 5 stars","1,44,900"
2024-10-30 19:08:47.965295,"Apple iPhone 16 Pro (128 GB) - Desert Titanium","4 Stars & Up","79,900"
2024-10-30 19:11:20.797238,"Life is easier on iPhone.","4.5 out of 5 stars","42,999"
2024-10-30 19:11:20.797238,"Apple iPhone 14 (128 GB) - Purple","4.5 out of 5 stars","42,999"
2024-10-30 19:11:20.797238,"Apple iPhone 13 (256GB) - Blue","4.5 out of 5 stars","42,999"
2024-10-30 19:11:20.797238,"Apple iPhone 13 (128GB) - Starlight","4.5 out of 5 stars","59,900"
2024-10-30 19:11:20.797238,"Apple iPhone 13 (128GB) - Midnight","4.5 out of 5 stars","53,999"
2024-10-30 19:11:20.797238,"Apple iPhone 13 (128GB) - Pink","4.5 out of 5 stars","42,999"
2024-10-30 19:11:20.797238,"Apple iPhone 13 (128GB) - Blue","4.5 out of 5 stars","42,999"
2024-10-30 19:11:20.797238,"Apple iPhone 13 (128GB) - Green","4.5 out of 5 stars","42,999"
2024-10-30 19:11:20.797238,"Apple iPhone 13 (128GB) - (Product) RED","4.5 out of 5 stars","42,999"
